class,wrapper_file,native_name,token_dec,method,access,is_static,system
cmpDrawSkill,cmpDrawSkill.cs,cmpGetSkillCostType_Public_Static_UInt32_UInt16_0,100663727,cmpGetSkillCostType,Public,True,camp
cmpDrawSkill,cmpDrawSkill.cs,cmpGetSkillCost_Public_Static_Int32_UInt16_datUnitWork_t_0,100663728,cmpGetSkillCost,Public,True,camp
cmpDrawSkill,cmpDrawSkill.cs,cmpDrawSkillSelectCursor_Public_Static_Void_Int32_cmpCursorInfo_t_0,100663729,cmpDrawSkillSelectCursor,Public,True,camp
cmpDrawSkill,cmpDrawSkill.cs,cmpDrawSkillList_Public_Static_Void_fclPanelPos_t_cmpCursorInfo_t_Object_SByte_Int32_UInt32_0,100663730,cmpDrawSkillList,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatSetCompareUnit_Public_Static_Void_datUnitWork_t_0,100663731,cmpStatSetCompareUnit,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatSetRaceEffect_Public_Static_Void_0,100663732,cmpStatSetRaceEffect,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatResetRaceEffect_Public_Static_Void_0,100663733,cmpStatResetRaceEffect,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatSetSkillEffectPos_Public_Static_Void_SByte_0,100663734,cmpStatSetSkillEffectPos,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatResetFlashFlag_Public_Static_Void_SByte_0,100663735,cmpStatResetFlashFlag,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatSetTimer_Public_Static_Int32_Int32_SByte_0,100663736,cmpStatSetTimer,Public,True,camp
cmpDrawStatus,cmpDrawStatus.cs,cmpStatMakeBlinkCol_Public_Static_Void_Int32_SByte_Il2CppStructArray_1_UInt32_0,100663737,cmpStatMakeBlinkCol,Public,True,camp
