token_dec,token_hex,rid,rva,kind,accessor,name,decl,category
100670989,0x06001E0D,7693,0x000D8B20,method,,evtSetPolygonMovieFlag,"public unsafe static void evtSetPolygonMovieFlag(dds3ProcessID_t id, uint flag)",API
100670990,0x06001E0E,7694,0x000D8B64,method,,evtResetPolygonMovieFlag,"public unsafe static void evtResetPolygonMovieFlag(dds3ProcessID_t id, uint flag)",API
100670991,0x06001E0F,7695,0x000D8BA8,method,,evtCheckPolygonMovieFlag,"public unsafe static int evtCheckPolygonMovieFlag(dds3ProcessID_t id, uint flag)",API
100670992,0x06001E10,7696,0x000D8BF8,method,,GetNowFrame,public unsafe static int GetNowFrame(),API
100670993,0x06001E11,7697,0x000D8C28,method,,evtStopMover,"public unsafe static void evtStopMover(dds3Basic_t mover, int sw, int baseframe, int nowframe)",API
100670994,0x06001E12,7698,0x000D8C88,method,,InitPolygonMovieWorkData,public unsafe static pmdProcessWork_t InitPolygonMovieWorkData(),API
100670995,0x06001E13,7699,0x000D8CBC,method,,evtGetPolygonMovieWorkData1,"public unsafe static pmdProcessWork_t evtGetPolygonMovieWorkData1(pmdProcessWork_t wdata, Il2CppStructArray<byte> pm1data, Il2CppStructArray<byte> pm2data)",API
100670996,0x06001E14,7700,0x000D8D24,method,,evtFreePolygonMovieWorkData,public unsafe static void evtFreePolygonMovieWorkData(pmdProcessWork_t wdata),API
100670997,0x06001E15,7701,0x000D8D5C,method,,SetPMFileName,"public unsafe static void SetPMFileName(int eventno, int cutno, out string pm1file, out string pm2file)",API
100670998,0x06001E16,7702,0x000D8DD0,method,,evtStartPolygonMovie2,"public unsafe static dds3ProcessID_t evtStartPolygonMovie2(int priority, int eventno, int cutno)",API
100670999,0x06001E17,7703,0x000D8E2C,method,,get_table,public unsafe static void get_table(Il2CppSystem.Object obj),misc
100671000,0x06001E18,7704,0x000D8E64,method,,read_module,"public unsafe static void read_module(evtPolygonMovie.sLoadMode mode, pmdProcessWork_t wdata, GameObject ChrObj, GameObject FldObj)",misc
100671001,0x06001E19,7705,0x000D8ED8,method,,read_module,public unsafe static void read_module(pmdProcessWork_t wdata),misc
100671002,0x06001E1A,7706,0x000D8F10,method,,attach,"public unsafe static void attach(dds3Basic_t basic, GameObject obj)",misc
100671003,0x06001E1B,7707,0x000D8F58,method,,EvtStartPMDuplicate,"public unsafe static dds3ProcessID_t EvtStartPMDuplicate(int priority, Il2CppSystem.Object pr, int eventno, int cutno)",misc
100671004,0x06001E1C,7708,0x000D8FC8,method,,evtPolygonMovieProcess1e,public unsafe static Il2CppSystem.Object evtPolygonMovieProcess1e(dds3ProcessID_t id),API
100671005,0x06001E1D,7709,0x000D900C,method,,evtPolygonMovieShutdown1e,public unsafe static Il2CppSystem.Object evtPolygonMovieShutdown1e(dds3ProcessID_t id),API
100671006,0x06001E1E,7710,0x000D9050,method,,SwitchAnimation,"public unsafe static void SwitchAnimation(pmdProcessWork_t wdata, bool sw)",misc
100671007,0x06001E1F,7711,0x0000C1DC,method,,evtPolygonMovie,public evtPolygonMovie(System.IntPtr pointer) : base(pointer),API
100671008,0x06001E20,7712,0x000D9094,property,get,MSGTRG,public unsafe static int MSGTRG,misc
100671010,0x06001E22,7714,0x000D90B0,property,get,replace_list,"public unsafe static Dictionary<string, string> replace_list",misc
100671012,0x06001E24,7716,0x000D90D8,property,get,CurrentEventNo,public unsafe static int CurrentEventNo,misc
100671014,0x06001E26,7718,0x000D90F4,property,get,EventCTree,public unsafe static GameObject EventCTree,misc
100671016,0x06001E28,7720,0x000D911C,property,get,EventFTree,public unsafe static GameObject EventFTree,misc
